n,gamma,k,seed,model,supportSize,exactValue,algValue,ratio,gap,theoryBound,exactTime,algTime
12,0.2,2,1,CR-SHP,25,190.072483904383,190.072483904383,1,0,0.5,0.028376,0.0001479
12,0.2,2,1,CVaR-CR-SHP,1,163.815176831685,163.815176831685,1,0,0.5,0.0279845,7.59e-05
12,0.2,2,2,CR-SHP,25,182.595752520925,182.595752520925,1,0,0.5,0.0292204,0.0001455
12,0.2,2,2,CVaR-CR-SHP,1,153.051009703083,153.051009703083,1,0,0.5,0.0277951,8.27e-05
12,0.2,2,3,CR-SHP,25,204.235031537108,204.235031537108,1,0,0.5,0.0291053,0.0001667
12,0.2,2,3,CVaR-CR-SHP,1,177.996264697059,177.996264697059,1,0,0.5,0.0273477,0.0001348
12,0.2,2,4,CR-SHP,25,220.542489132872,220.542489132872,1,0,0.5,0.0286041,0.0001583
12,0.2,2,4,CVaR-CR-SHP,1,191.975898709559,191.975898709559,1,0,0.5,0.0399748,0.0001053
12,0.2,2,5,CR-SHP,25,208.82511557125,208.82511557125,1,0,0.5,0.0358815,0.0001884
12,0.2,2,5,CVaR-CR-SHP,1,188.712361146757,188.712361146757,1,0,0.5,0.0305814,9.02e-05
12,0.2,2,6,CR-SHP,25,204.0509132351,204.0509132351,1,0,0.5,0.0278102,0.0001446
12,0.2,2,6,CVaR-CR-SHP,1,179.474978652318,179.474978652318,1,0,0.5,0.0278292,7.43e-05
12,0.2,2,7,CR-SHP,25,211.895404719394,211.895404719394,1,0,0.5,0.0313755,0.0002229
12,0.2,2,7,CVaR-CR-SHP,1,185.380365262168,185.380365262168,1,0,0.5,0.0300699,8.21e-05
12,0.2,2,8,CR-SHP,25,212.175983741048,212.175983741048,1,0,0.5,0.0280306,0.0001418
12,0.2,2,8,CVaR-CR-SHP,1,183.431648190841,183.431648190841,1,0,0.5,0.0289968,0.0001599
12,0.5,6,1,CR-SHP,25,497.229528800364,497.229528800364,1,0,0.5,0.0738168,0.0001692
12,0.5,6,1,CVaR-CR-SHP,1,448.859699455352,448.859699455352,1,0,0.5,0.0535337,7.22e-05
12,0.5,6,2,CR-SHP,25,495.183551913698,495.183551913698,1,0,0.5,0.0752538,0.0001627
12,0.5,6,2,CVaR-CR-SHP,1,446.630295245954,446.630295245954,1,0,0.5,0.0582211,7.23e-05
12,0.5,6,3,CR-SHP,25,527.129260631881,527.129260631881,1,0,0.5,0.0733251,0.000175
12,0.5,6,3,CVaR-CR-SHP,1,477.748406787185,477.748406787185,1,0,0.5,0.0511913,7.02e-05
12,0.5,6,4,CR-SHP,25,575.401185462465,575.401185462465,1,0,0.5,0.075932,0.0001864
12,0.5,6,4,CVaR-CR-SHP,1,534.45285562784,534.45285562784,1,0,0.5,0.0516428,7.82e-05
12,0.5,6,5,CR-SHP,25,549.042754740459,547.037380951395,0.996347508874766,0.00365249112523447,0.5,0.0757011,0.0001588
