testDate,model,profit,regretToBest,n,k,chainSupport,tailSupport,selectedCount
2025-07-20,CR-SHP,5360.331674,220.265996,144,72,60,6,6
2025-07-20,CVaR-CR-SHP,5564.730538,15.8671320000003,144,72,60,6,72
2025-07-20,Mixed,5580.59767,0,144,72,60,6,68
2025-07-21,Nominal,4159.086496,448.9435,144,72,60,6,6
2025-07-21,CR-SHP,4143.711171,464.318825,144,72,60,6,6
2025-07-21,CVaR-CR-SHP,4603.224346,4.80565000000024,144,72,60,6,72
2025-07-21,Mixed,4608.029996,0,144,72,60,6,66
2025-07-22,Nominal,4458.50023,4.35174099999949,144,72,60,6,2
2025-07-22,CR-SHP,4462.851971,0,144,72,60,6,4
2025-07-22,CVaR-CR-SHP,4048.389639,414.462332,144,72,60,6,72
2025-07-22,Mixed,4179.31388,283.538090999999,144,72,60,6,66
2025-07-23,Nominal,5213.433306,243.667534,144,72,60,6,43
2025-07-23,CR-SHP,5216.263089,240.837751,144,72,60,6,43
2025-07-23,CVaR-CR-SHP,5457.10084,0,144,72,60,6,72
2025-07-23,Mixed,5441.435776,15.6650639999998,144,72,60,6,67
2025-07-24,Nominal,9438.350338,0,144,72,60,6,69
2025-07-24,CR-SHP,9424.576632,13.7737059999999,144,72,60,6,72
2025-07-24,CVaR-CR-SHP,9424.576632,13.7737059999999,144,72,60,6,72
2025-07-24,Mixed,9424.576632,13.7737059999999,144,72,60,6,72
2025-07-25,Nominal,11149.625955,0,144,72,60,6,72
2025-07-25,CR-SHP,11149.625955,0,144,72,60,6,72
2025-07-25,CVaR-CR-SHP,11149.625955,0,144,72,60,6,72
2025-07-25,Mixed,11149.625955,0,144,72,60,6,72
2025-07-26,Nominal,4891.656826,166.605028999999,144,72,60,6,6
2025-07-26,CR-SHP,4809.385489,248.876366,144,72,60,6,12
2025-07-26,CVaR-CR-SHP,4893.592208,164.669647,144,72,60,6,72
2025-07-26,Mixed,5058.261855,0,144,72,60,6,66
2025-07-27,Nominal,6121.275833,36.4163240000007,144,72,60,6,66
2025-07-27,CR-SHP,6157.692157,0,144,72,60,6,66
2025-07-27,CVaR-CR-SHP,6071.134466,86.5576909999991,144,72,60,6,72
2025-07-27,Mixed,6147.073137,10.6190199999983,144,72,60,6,70
2025-07-28,Nominal,15830.260236,0,144,72,60,6,72
2025-07-28,CR-SHP,15830.260236,0,144,72,60,6,72
2025-07-28,CVaR-CR-SHP,15830.260236,0,144,72,60,6,72
2025-07-28,Mixed,15830.260236,0,144,72,60,6,72
2025-07-29,Nominal,28032.511731,0,144,72,60,6,72
2025-07-29,CR-SHP,28032.511731,0,144,72,60,6,72
2025-07-29,CVaR-CR-SHP,28032.511731,0,144,72,60,6,72
2025-07-29,Mixed,28032.511731,0,144,72,60,6,72
2025-07-30,Nominal,11202.312942,0.941361000001052,144,72,60,6,66
2025-07-30,CR-SHP,11203.254303,0,144,72,60,6,69
2025-07-30,CVaR-CR-SHP,11152.849676,50.4046269999999,144,72,60,6,72
2025-07-30,Mixed,11152.849676,50.4046269999999,144,72,60,6,72
2025-07-31,Nominal,5237.323232,0,144,72,60,6,6
2025-07-31,CR-SHP,5237.323232,0,144,72,60,6,6
2025-07-31,CVaR-CR-SHP,4553.356056,683.967176,144,72,60,6,72
2025-07-31,Mixed,5072.520118,164.803114,144,72,60,6,22
