model,meanProfit,cvar10,q05,worst,meanRegret
Nominal,7163.0846526129,4000.91377832258,4159.086496,3330.805946,153.46210716129
CR-SHP,7183.78555493548,4001.29286935484,4143.711171,3330.517211,132.76120483871
CVaR-CR-SHP,7169.01553296774,4103.07986535484,4048.389639,4047.934733,147.531226806452
Mixed,7214.35797293548,4162.62976567742,4179.31388,3997.704295,102.18878683871
