n,k,alpha,seed,chainSupport,tailSupport,directValue,truncatedValue,objectiveDiff,relativeDiff,setOverlap,directTime,truncBuildTime,truncatedTime
12,6,0.05,4,25,1,534.45285562784,534.45285562784,0,0,1,0.1171856,1.97e-05,0.051904
12,6,0.05,5,25,1,519.065370311743,519.065370311743,0,0,1,0.1037761,3.44e-05,0.0482872
12,6,0.05,6,25,1,484.872856089092,484.872856089092,0,0,1,0.1008907,2.28e-05,0.0504528
12,6,0.05,7,25,1,498.356702280162,498.356702280162,0,0,1,0.109893,2e-05,0.0517897
12,6,0.05,8,25,1,502.829973753367,502.829973753367,0,0,1,0.1045002,1.96e-05,0.0495114
12,6,0.1,1,25,1,448.859699455352,448.859699455352,0,0,1,0.102729,1.92e-05,0.0482424
12,6,0.1,2,25,1,446.630295245954,446.630295245954,0,0,1,0.098924,1.94e-05,0.0495649
12,6,0.1,3,25,1,477.748406787185,477.748406787185,0,0,1,0.1021693,2.02e-05,0.0512833
12,6,0.1,4,25,1,534.45285562784,534.45285562784,0,0,1,0.1009527,2.19e-05,0.0491687
12,6,0.1,5,25,1,519.065370311743,519.065370311743,0,0,1,0.1030894,2.43e-05,0.05023
12,6,0.1,6,25,1,484.872856089092,484.872856089092,0,0,1,0.101353,2.01e-05,0.0484766
12,6,0.1,7,25,1,498.356702280162,498.356702280162,0,0,1,0.1003385,1.98e-05,0.0493657
12,6,0.1,8,25,1,502.829973753367,502.829973753367,0,0,1,0.1038734,2.06e-05,0.0479628
12,6,0.2,1,25,1,448.859699455352,448.859699455352,0,0,1,0.0995069,2.03e-05,0.0511151
12,6,0.2,2,25,3,446.630295245954,446.630295245954,0,0,1,0.1071677,2.66e-05,0.0600408
12,6,0.2,3,25,1,477.748406787185,477.748406787185,0,0,1,0.1026315,2.17e-05,0.0492308
12,6,0.2,4,25,3,534.45285562784,534.45285562784,0,0,1,0.098862,2.23e-05,0.0510649
12,6,0.2,5,25,2,519.065370311743,519.065370311743,0,0,1,0.1058746,2.47e-05,0.051054
12,6,0.2,6,25,1,484.872856089092,484.872856089092,0,0,1,0.1091827,2.05e-05,0.050222
12,6,0.2,7,25,2,498.356702280162,498.356702280162,0,0,1,0.1001526,2.18e-05,0.0509498
12,6,0.2,8,25,2,502.829973753367,502.829973753367,0,0,1,0.1013974,2.2e-05,0.0513084
14,7,0.05,1,29,1,508.280629860556,508.280629860556,0,0,1,0.4586662,2.62e-05,0.2271878
14,7,0.05,2,29,1,521.048192194257,521.048192194257,0,0,1,0.4786437,2.14e-05,0.2258184
14,7,0.05,3,29,1,544.946221495989,544.946221495989,0,0,1,0.4637246,2e-05,0.224841
14,7,0.05,4,29,1,632.110944195618,632.110944195618,0,0,1,0.4627088,1.91e-05,0.2209586
14,7,0.05,5,29,1,577.342418361117,577.342418361117,0,0,1,0.4689433,4.06e-05,0.2241557
14,7,0.05,6,29,1,551.308903272693,551.308903272693,0,0,1,0.4884998,2.16e-05,0.2279798
14,7,0.05,7,29,1,578.014521200584,578.014521200584,0,0,1,0.4574459,2.75e-05,0.2283
14,7,0.05,8,29,1,576.588543753244,576.588543753244,0,0,1,0.4863465,2.17e-05,0.2283051
14,7,0.1,1,29,1,508.280629860556,508.280629860556,0,0,1,0.4716084,2.44e-05,0.2291872
