n,gamma,k,seed,beta,alpha,lambda,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,8,1.05,0.75,0.75,comonotone,CR-SHP,2877.64303265633,2877.82818129031,2307.89238786457,2307.89238786457,2307.89238786457,0,121,111,18
60,0.5,30,8,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2796.86228072754,2823.01325164174,2720.91221125325,2720.91221125325,2720.91221125325,54.814929648569,121,111,28
60,0.5,30,8,1.05,0.75,0.75,comonotone,Mixed,2841.92660516986,2866.78519995513,2542.70095506993,2542.70095506993,2542.70095506993,11.0429813351884,121,111,23
60,0.5,30,8,1.05,0.75,0.75,t_copula06,Nominal,3300.1231214108,3031.27621642383,1655.28266878852,1660.81150550721,1456.91060844098,2.47431821899909,121,111,3
60,0.5,30,8,1.05,0.75,0.75,t_copula06,CR-SHP,2877.64303265633,3033.75053464283,2413.51158251785,2416.48011023014,2307.89238786457,0,121,111,18
60,0.5,30,8,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2796.86228072754,2866.56913853722,2760.02856619044,2767.60127491624,2720.91221125325,167.181396105607,121,111,28
60,0.5,30,8,1.05,0.75,0.75,t_copula06,Mixed,2841.92660516986,2974.90833756287,2614.39063365664,2619.47337126264,2542.70095506993,58.8421970799654,121,111,23
60,0.5,30,8,1.05,0.75,0.75,adverse,Nominal,3300.1231214108,2793.44453685937,1456.91060844098,1456.91060844098,1456.91060844098,84.1984957969566,121,111,3
60,0.5,30,8,1.05,0.75,0.75,adverse,CR-SHP,2877.64303265633,2877.64303265633,2307.89238786457,2307.89238786457,2307.89238786457,0,121,111,18
60,0.5,30,8,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2796.86228072754,2823.40154537589,2720.91221125325,2720.91221125325,2720.91221125325,54.2414872804402,121,111,28
